|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	82
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	83
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	84
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	85
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	86
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	87
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	88
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	89
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	90
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	91
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	92
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	93
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	94
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	95
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:39 MonteCarloTreesApp::update[119] 	Currentstep: 	96
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::update[119] 	Currentstep: 	97
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::update[119] 	Currentstep: 	98
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::update[119] 	Currentstep: 	99
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::update[119] 	Currentstep: 	100
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:40 MonteCarloTreesApp::update[119] 	Currentstep: 	101
